# WORK IN PROGRESS - DRAFT - This file is under active development and should not be taken as final
id,category,scenario,driver,fault,location,traffic_control,police_report,damage_severity,est_damage_usd,typical_deductible_usd,other_party,our_coverage_used,deductible_applies,subrogation_possible,recommend_filing,financial_reasoning,premium_impact,fraud_risk,fraud_patterns_relevant,paper_accident_risk,ohio_notes,pipeline_outcome
RE-01,Rear-End,Owner rear-ended by other driver,Owner,Not-at-fault,Road,N/A,Yes,Moderate,3000,500,Known+Insured,Other's Liability (or our Collision+subrogate),No (if filing vs other),Yes,Yes,"Clear liability on other party; no premium impact; file against their insurance",None,Low,None,Low,"Rear driver presumed at-fault in Ohio; police report confirms",PAID
RE-02,Rear-End,Owner rear-ended by other driver - minor,Owner,Not-at-fault,Road,N/A,No,Minor,800,500,Known+Insured,Other's Liability,No,Yes,Yes,"File against other's insurance; under $1K so no police report required by Ohio law (ORC §5502.11)",None,Low,None,Low,"Under $1K threshold — police report not required",PAID
RE-03,Rear-End,Owner rear-ended by uninsured driver,Owner,Not-at-fault,Road,N/A,Yes,Major,7000,500,Known+Uninsured,UM/UIM or Collision,Yes,Maybe,"Yes","$7K damage; even with deductible $6.5K payout; UM/UIM may waive deductible",None,Low,"#5 Prior Damage (check if damage matches impact)",Low,"Ohio: UM/UIM optional but insurers must offer coverage; police report strengthens claim",PAID
RE-04,Rear-End,Owner rear-ends other driver,Owner,At-fault,Road,N/A,Yes,Moderate,4000,500,"Known+Insured","Collision (our car) + Liability (their car)",Yes (Collision only),No,Yes,"$3.5K Collision payout for our car; premium increase ~$675/yr × 3yr = $2K; net benefit ~$1.5K; plus Liability covers their damage",+30-40% for 3yr,Low,None,Low,"At-fault rear-end; clear liability",PAID
RE-05,Rear-End,Owner rear-ends other - major damage,Owner,At-fault,Road,N/A,Yes,Major,12000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"$11.5K payout well exceeds premium increase cost (~$2-3K over 3-5yr)",+40-50% for 3-5yr,Low,"#4 Inflated Repair (if estimate seems high for rear-end)",Low,"Straightforward at-fault",PAID
RE-06,Rear-End,Owner rear-ends other - minor no police,Owner,At-fault,Road,N/A,No,Minor,600,500,"Known+Insured","Collision + Liability",Yes,No,Probably Not,"Collision payout only $100; premium increase ~$2K over 3yr; massive net loss; settle out of pocket",+30-40% for 3yr,Low-Medium,None,Low-Medium,"Under $1K — no police required; but filing at-fault claim not worth it financially",NOT_FILED
RE-07,Rear-End,Friend rear-ended by other driver,Friend,Not-at-fault,Road,N/A,Yes,Moderate,3500,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Permissive use: friend's own insurer pays first (Acuity v. Progressive 2023); file against other's insurance; no premium impact",None,Low,None,Low,"Ohio permissive use doctrine — friend covered under owner's policy",PAID
RE-08,Rear-End,Friend rear-ends other - major,Friend,At-fault,Road,N/A,Yes,Major,10000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"$9.5K payout exceeds premium cost; friend's driving record may affect owner's future rates",+40-50% for 3-5yr,Low-Medium,"#1 Staged Accident (if friend+other connected)",Low,"Permissive user at-fault; owner's premium affected",PAID
RE-09,Rear-End,Friend rear-ends other - minor no police,Friend,At-fault,Road,N/A,No,Minor,500,500,"Known+Insured","Collision + Liability",Yes,No,No,"$0 Collision payout (at deductible); premium increase ~$2K; handle out of pocket",+30-40% for 3yr,Low-Medium,"#3 Paper Accident (friend+no police+at deductible)",Medium,"Permissive user; damage equals deductible; no financial sense to file",NOT_FILED
IS-01,Intersection-Signal,Owner has green - other runs red - T-bone,Owner,Not-at-fault,Intersection,Signal,Yes,Major,8000,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Clear not-at-fault; traffic camera/police confirm signal violation",None,Low,None,Low,"Ohio: red light runner clearly at fault; police report + possible camera evidence",PAID
IS-02,Intersection-Signal,Owner runs red - T-bones other,Owner,At-fault,Intersection,Signal,Yes,Major,9000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"$8.5K payout; traffic violation adds severity to premium impact but still worth filing",+45-60% for 3-5yr,Low,None,Low,"Traffic citation adds to premium surcharge; may also face $150 Ohio fine",PAID
IS-03,Intersection-Signal,Disputed who had green light,Owner,Disputed,Intersection,Signal,Yes,Moderate,5000,500,"Known+Insured","Collision (both use own)",Yes,Maybe,Yes,"Disputed fault; Ohio comparative negligence (51% bar) — if <51% at fault can recover proportionally",+15-25% for 3yr,Medium,"#3 Paper Accident (if no camera evidence)",Low,"Ohio modified comparative negligence; witness statements critical; may go 50/50",PAID (reduced)
IS-04,Intersection-Signal,Owner has green - other runs red - NO police,Owner,Not-at-fault,Intersection,Signal,No,Moderate,4000,500,"Known+Insured","Other's Liability or Collision",No (if vs other),Yes,Yes but harder,"No police report means no official record of signal state; becomes word vs word; over $1K so SHOULD have filed police report per Ohio law",None,Medium,"#3 Paper Accident (>$1K + no police = questionable)",Medium-High,"ORC §5502.11 requires report for >$1K damage; absence raises questions",PAID (with scrutiny)
IS-05,Intersection-Signal,Friend has green - other runs red,Friend,Not-at-fault,Intersection,Signal,Yes,Moderate,4500,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Permissive user; clear not-at-fault with police report",None,Low,None,Low,"Permissive use: friend's own insurer primary; owner's policy secondary",PAID
IN-01,Intersection-Sign,Owner has right of way - other runs stop sign,Owner,Not-at-fault,Intersection,Stop Sign,Yes,Moderate,4000,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Clear right of way violation by other party",None,Low,None,Low,"Ohio: stop sign violator at fault",PAID
IN-02,Intersection-Sign,Owner fails to stop at stop sign - hits other,Owner,At-fault,Intersection,Stop Sign,Yes,Moderate,5000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"$4.5K payout > premium cost (~$2-3K); traffic citation likely",+40-50% for 3-5yr,Low,None,Low,"Stop sign violation = at-fault + potential citation",PAID
IN-03,Intersection-Sign,Owner turning left - hit by oncoming traffic,Owner,At-fault (presumed),Intersection,Signal,Yes,Major,7000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"Ohio left-turn presumption — turning driver presumed at fault unless proving other speeding/ran light; $6.5K payout worth it",+30-45% for 3-5yr,Low,None,Low,"Left-turn driver bears burden of proof in Ohio",PAID
IN-04,Intersection-None,T-bone at uncontrolled intersection - disputed,Owner,Disputed,Intersection,None,Yes,Major,11000,500,"Known+Insured","Collision",Yes,Maybe,Yes,"Ohio rule: driver on LEFT yields to driver on RIGHT at uncontrolled intersection; fault depends on approach direction",+15-30% for 3yr,Medium,None,Low,"Ohio uncontrolled intersection: right-of-way to driver on right (ORC §4511.41)",PAID (disputed)
IN-05,Intersection-Sign,Owner turning left - no police report,Owner,At-fault (presumed),Intersection,Signal,No,Moderate,3500,500,"Known+Insured","Collision + Liability",Yes,No,Depends,"$3K payout vs ~$2-3K premium increase; borderline; over $1K so police SHOULD have been called",+30-40% for 3yr,Medium,"#3 Paper Accident (>$1K + no police + at-fault)",Medium,"Left-turn presumption + no police report = harder to dispute fault",PAID (marginal)
IN-06,Intersection-Sign,Friend runs yield sign - hits other,Friend,At-fault,Intersection,Yield Sign,Yes,Moderate,4000,500,"Known+Insured","Collision + Liability",Yes,No,Yes,"Permissive user; $3.5K payout exceeds premium cost",+30-40% for 3yr,Low-Medium,"#1 Staged Accident (if friend+other connected)",Low,"Permissive use; owner's premium affected",PAID
PL-01,Parking Lot,Owner's car parked - hit by known other driver,Owner,Not-at-fault,Parking Lot,N/A,Yes,Minor,1200,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Parked car = 0% fault; file against other's insurance; no premium impact",None,Low,None,Low,"Private property; police may file report but not always respond to scene",PAID
PL-02,Parking Lot,Owner's car parked - hit by known other - no police,Owner,Not-at-fault,Parking Lot,N/A,No,Minor,900,500,"Known+Insured","Other's Liability",No,Yes,Yes,"Exchange info and file against their insurance; parking lots = private property so police often don't respond; under $1K",None,Low,None,Low,"Private property — police not required; common practice to exchange info",PAID
PL-03,Parking Lot,Owner's car parked - hit and run - no police,Owner,Not-at-fault,Parking Lot,N/A,No,Minor,800,500,"Unknown(fled)","Collision or UM/UIM",Yes,No,Probably Not,"$800 - $500 deductible = $300 payout; comprehensive claims usually no surcharge but marginal benefit; check parking lot cameras first",None-Low,Low-Medium,"#3 Paper Accident (no witness + no police + hit-and-run)",Medium,"Hit-and-run: Ohio UM/UIM may require police report; Collision doesn't; $300 net may not be worth hassle",NOT_FILED
PL-04,Parking Lot,Owner's car parked - hit and run - police filed,Owner,Not-at-fault,Parking Lot,N/A,Yes,Moderate,2500,500,"Unknown(fled)","UM/UIM or Collision",Yes,No,Yes,"$2K payout; police report enables UM/UIM claim; no premium surcharge for not-at-fault hit-and-run",None,Low,None,Low,"Police report filed; UM/UIM covers hit-and-run in Ohio",PAID
PL-05,Parking Lot,Both cars moving in parking lot - shared fault,Both,Shared (50/50),Parking Lot,N/A,No,Minor,700,500,"Known+Insured","Each uses own Collision",Yes,No,No,"$200 payout after deductible; premium increase likely; not worth it for either party; settle out of pocket",+15-25% for 3yr,Low,None,Low,"Parking lot moving collisions often 50/50; both under $1K; settle privately",NOT_FILED
PL-06,Parking Lot,Door ding - unknown other party,Owner,Not-at-fault,Parking Lot,N/A,No,Minor,300,500,"Unknown",None,N/A,No,No,"Damage below deductible; $0 payout regardless; cosmetic only",None,Low,None,Low,"Below deductible — no financial reason to file",NOT_FILED
PL-07,Parking Lot,Friend's car parked - hit and run - no police,Friend,Not-at-fault,Parking Lot,N/A,No,Moderate,2000,500,"Unknown(fled)","Collision",Yes,No,Depends,"$1.5K payout; permissive user; comprehensive/collision claims usually no surcharge; but no police report for $2K is a flag",None-Low,Medium,"#3 Paper Accident (friend + no police + unknown other + >$1K)",Medium-High,"Permissive use + no police + >$1K = scrutiny; should have filed police report",PAID (with scrutiny)
PL-08,Parking Lot,Shopping cart hits car,Owner,Not-at-fault,Parking Lot,N/A,No,Minor,400,500,None,None,N/A,No,No,"Below deductible; no other party; cosmetic damage",None,Low,None,Low,"No claim to file — below deductible",NOT_FILED
